"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2542","User can add 3 products and checkout successfully","firefox","Thu Mar 12 12:12:53 UTC 2026","passed","Thu Mar 12 12:12:56 UTC 2026","Checkout Feature","","",""
"","767","Login failed with wrong password","firefox","Thu Mar 12 12:12:57 UTC 2026","passed","Thu Mar 12 12:12:58 UTC 2026","Login Feature","","",""
"","656","Login failed with wrong username","firefox","Thu Mar 12 12:12:58 UTC 2026","passed","Thu Mar 12 12:12:59 UTC 2026","Login Feature","","",""
"","686","Login failed without username and password","firefox","Thu Mar 12 12:12:59 UTC 2026","passed","Thu Mar 12 12:12:59 UTC 2026","Login Feature","","",""
"","3","Login success with valid credential","webkit","Thu Mar 12 12:12:59 UTC 2026","failed","Thu Mar 12 12:12:59 UTC 2026","Login Feature","","",""
"","3","Login failed with wrong username","webkit","Thu Mar 12 12:13:00 UTC 2026","failed","Thu Mar 12 12:13:00 UTC 2026","Login Feature","","",""
"","1409","User can add 3 products and checkout successfully","chromium","Thu Mar 12 12:12:50 UTC 2026","passed","Thu Mar 12 12:12:52 UTC 2026","Checkout Feature","","",""
"","617","Login failed with wrong password","chromium","Thu Mar 12 12:12:52 UTC 2026","passed","Thu Mar 12 12:12:52 UTC 2026","Login Feature","","",""
"","1046","Login success with valid credential","chromium","Thu Mar 12 12:12:50 UTC 2026","passed","Thu Mar 12 12:12:51 UTC 2026","Login Feature","","",""
"","3","Login failed without username and password","webkit","Thu Mar 12 12:13:01 UTC 2026","failed","Thu Mar 12 12:13:01 UTC 2026","Login Feature","","",""
"","2188","Login success with valid credential","firefox","Thu Mar 12 12:12:54 UTC 2026","passed","Thu Mar 12 12:12:57 UTC 2026","Login Feature","","",""
"","618","Login failed without username and password","chromium","Thu Mar 12 12:12:53 UTC 2026","passed","Thu Mar 12 12:12:54 UTC 2026","Login Feature","","",""
"","579","Login failed with wrong username","chromium","Thu Mar 12 12:12:52 UTC 2026","passed","Thu Mar 12 12:12:53 UTC 2026","Login Feature","","",""
"","4","Login failed with wrong password","webkit","Thu Mar 12 12:13:00 UTC 2026","failed","Thu Mar 12 12:13:00 UTC 2026","Login Feature","","",""
"","4","User can add 3 products and checkout successfully","webkit","Thu Mar 12 12:12:58 UTC 2026","failed","Thu Mar 12 12:12:58 UTC 2026","Checkout Feature","","",""
